iteration,country_name,currency,is_circulation,person,years_of_birth_death,in_circulation_since,years_of_circulation,reason_for_honor,denomination,obverse_or_reverse
4,Armenia,NA,1,Alexander Tamanian,1878-1936,1999,NA,Architect,500,Obverse
4,Armenia,NA,1,Yeghishe Charents,1897-1937,1999,NA,"Poet, writer and public activist","1,000",Obverse
4,Armenia,NA,1,Paruyr Sevak,1924-1971,2018,NA,"Poet, translator and literary critic","1,000",Both
4,Armenia,NA,1,Tigran Petrosian,1929-1984,2018,NA,Grandmaster and World Chess Champion (1963-1969),"2,000",Both
4,Armenia,NA,1,Hovhannes Tumanyan,1869-1923,1999,NA,Writer and public activist,"5,000",Obverse
4,Armenia,NA,1,William Saroyan,1908-1981,2018,NA,"Armenian-American novelist, playwright and short story writer; awarded the Pulitzer Prize for Drama in 1940 and won an Academy Award for Best Story for the film adaptation of his novel The Human Comedy in 1943","5,000",Both
4,Armenia,NA,1,Avetik Isahakyan,1875-1957,2003,NA,"Lyric writer, poet and public activist","10,000",Obverse
4,Armenia,NA,1,Soghomon Soghomonian (Komitas),1869-1935,2018,NA,"Priest, musicologist, composer, arranger, singer, and choirmaster; founder of Armenian national school of music; Recognized as one of the pioneers of ethnomusicology","10,000",Both
4,Armenia,NA,1,Martiros Saryan,1880-1972,2007,NA,Painter,"20,000",Obverse
4,Armenia,NA,1,Ivan Aivazovsky,1817-1900,2018,NA,Painter,"20,000",Both
4,Armenia,NA,1,Gregory the Illuminator and Tiridates III the Great,c.257-c.331 (Gregory the Illuminator); 250-300 (Tiridates III the Great),2001 (commemorative),NA,Patron saint of Armenia and the first official head of the Armenian Apostolic Church (Gregory the Illuminator); King of Arsacid Armenia (287-330),"50,000",Reverse
4,Armenia,NA,1,Gregory the Illuminator,c.257-c.331,2018,NA,Patron saint of Armenia and the first official head of the Armenian Apostolic Church,"50,000",Both
4,Armenia,NA,1,King Abgar V of Edessa,4 BC-7 AD and 13-50 AD,2009,NA,King of Osroene,"100,000",Both
5,Artsakh,NA,1,Gregory the Illuminator,257-331,2004,NA,Patron saint of Armenia and the first official head of the Armenian Apostolic Church,2 dram,Obverse
6,Australia,NA,1,Edith Cowan,1861–1932,1995,NA,Suffragette; the first woman elected to the Parliament of Australia (1920–1924),$50,reverse
6,Australia,NA,1,Elizabeth II*,1926-,1992,NA,Queen of Australia (1952-),$5,obverse
6,Australia,NA,1,John Flynn,1880–1951,1994,NA,Founder of the Royal Flying Doctor Service (1928),$20,reverse
6,Australia,NA,1,Mary Gilmore,1865–1962,1993,NA,poet and journalist,$10,reverse
6,Australia,NA,1,Nellie Melba,1861–1931,1996,NA,International opera soprano (1886–1926),$100,obverse
6,Australia,NA,1,John Monash,1865–1931,1996,NA,General during World War I,$100,reverse
6,Australia,NA,1,Henry Parkes,1815–1896,2001,NA,The Father of the Federation,$5,obverse
6,Australia,NA,1,"Andrew Barton ""Banjo"" Paterson",1864–1941,1993,NA,"Poet; author of ""Waltzing Matilda"" (1895) and ""The Man from Snowy River"" (1890)",$10,obverse
6,Australia,NA,1,Mary Reibey,1777–1855,1994,NA,Businesswoman,$20,obverse
6,Australia,NA,1,Catherine Helen Spence,1825–1910,2001,NA,"Politician, journalist and suffragette",$5,reverse
6,Australia,NA,1,David Unaipon,1872–1967,1995,NA,Inventor and writer,$50,obverse
7,"Bahamas, The",NA,1,Lynden Oscar Pindling,1930-2000,2001,NA,1st Prime Minister of the Bahamas (1973-1992),B$1,Obverse
7,"Bahamas, The",NA,1,Cecil Wallace-Whitfield,,1995,NA,,B$5,Obverse
7,"Bahamas, The",NA,1,Elizabeth II,1926-,1984,NA,Queen of the United Kingdom (1952-) and Queen of the Bahamas (1973-),B$10,Obverse
7,"Bahamas, The",NA,1,Stafford Lofthouse Sands,1913-1972,2001,NA,"Minister of Finance of the Bahamas; ""Father of Tourism"" of the Bahamas",B$10,Obverse
7,"Bahamas, The",NA,1,Milo Boughton Butler,1906-1979,1993,NA,Governor-General of the Bahamas (1973-1979),B$20,Obverse
7,"Bahamas, The",NA,1,Roland Theodore Symonette,1898-1980,2000,NA,1st Premier of the Bahamas (1964-1967),B$50,Obverse
7,"Bahamas, The",NA,1,Elizabeth II,1926-,1974,NA,Queen of the United Kingdom (1952-) and Queen of the Bahamas (1973-),B$100,Obverse
8,Bahrain,NA,1,Hamad ibn Isa al-Khalifa,1950-,2006,NA,King of Bahrain (2002-),10 dinars,Obverse
8,Bahrain,NA,1,Hamad ibn Isa al-Khalifa,1950-,2001,NA,King of Bahrain (2002-),20 dinars,Obverse
9,Bangladesh,NA,1,Sheikh Mujibur Rahman,1920-1975,2011,NA,"1st President of Bangladesh (1971-1972); 2nd Prime Minister of Bangladesh (1972-1975); 4th President of Bangladesh (January 25, 1975 – August 15, 1975)",৳2,Obverse
9,Bangladesh,NA,1,Sheikh Mujibur Rahman,1920-1975,2011,NA,"1st President of Bangladesh (1971-1972); 2nd Prime Minister of Bangladesh (1972-1975); 4th President of Bangladesh (January 25, 1975 – August 15, 1975)",৳5,Obverse
9,Bangladesh,NA,1,Sheikh Mujibur Rahman,1920-1975,2011,NA,"1st President of Bangladesh (1971-1972); 2nd Prime Minister of Bangladesh (1972-1975); 4th President of Bangladesh (January 25, 1975 – August 15, 1975)",৳10,Obverse
9,Bangladesh,NA,1,Sheikh Mujibur Rahman,1920-1975,2011,NA,"1st President of Bangladesh (1971-1972); 2nd Prime Minister of Bangladesh (1972-1975); 4th President of Bangladesh (January 25, 1975 – August 15, 1975)",৳20,Obverse
9,Bangladesh,NA,1,Sheikh Mujibur Rahman,1920-1975,2011,NA,"1st President of Bangladesh (1971-1972); 2nd Prime Minister of Bangladesh (1972-1975); 4th President of Bangladesh (January 25, 1975 – August 15, 1975)",৳50,Obverse
9,Bangladesh,NA,1,Sheikh Mujibur Rahman,1920-1975,1972,NA,"1st President of Bangladesh (1971-1972); 2nd Prime Minister of Bangladesh (1972-1975); 4th President of Bangladesh (January 25, 1975 – August 15, 1975)",৳100,Obverse
9,Bangladesh,NA,1,Sheikh Mujibur Rahman,1920-1975,2011,NA,"1st President of Bangladesh (1971-1972); 2nd Prime Minister of Bangladesh (1972-1975); 4th President of Bangladesh (January 25, 1975 – August 15, 1975)",৳500,Obverse
9,Bangladesh,NA,1,Sheikh Mujibur Rahman,1920-1975,2011,NA,"1st President of Bangladesh (1971-1972); 2nd Prime Minister of Bangladesh (1972-1975); 4th President of Bangladesh (January 25, 1975 – August 15, 1975)","৳1,000",Obverse
10,Bangladesh,NA,1,Sheikh Hasina Wazed,1947-,2018 (commemorative),NA,Prime Minister of Bangladesh (2009-),৳70,Reverse
11,Barbados,NA,1,John Redman Bovell,,1980,NA,,$2,Obverse
11,Barbados,NA,1,Frank Mortimer Maglinne Worrell,1924-1967,1973,NA,Cricket player and senator of Jamaica,$5,Obverse
11,Barbados,NA,1,Charles Duncan O'Neal,1879-1936,1973,NA,Physician and founder of the Democratic League,$10,Obverse
11,Barbados,NA,1,Samuel Jackman Prescod,1806-1871,1973,NA,"Journalist, Politician, Judge; National Hero of Barbados",$20,Obverse
11,Barbados,NA,1,Errol Walton Barrow,1920-1987,1989,NA,1st Prime Minister of Barbados (1966-1976; 1986-1987),$50,Obverse
11,Barbados,NA,1,Grantley Herbert Adams,1898-1971,1973,NA,1st Prime Minister of the West Indies Federation (1958-1962); 1st Prime Minister of Barbados (1953-1958),$100,Obverse
12,Bhutan,NA,1,Jigme Singye Wangchuck,1955-,2006,NA,King of Bhutan (1972-2006),10 ngultrum,Obverse
12,Bhutan,NA,1,Jigme Khesar Namgyel Wangchuck,1980-,2006,NA,King of Bhutan (2006-),20 ngultrum,Obverse
12,Bhutan,NA,1,Jigme Khesar Namgyel Wangchuck,1980-,2008,NA,King of Bhutan (2006-),50 ngultrum,Obverse
12,Bhutan,NA,1,Jigme Singye Wangchuck,1955-,2006,NA,King of Bhutan (1972-2006),100 ngultrum,Obverse
12,Bhutan,NA,1,Jetsun Pema,1990-,2011 (commemorative),NA,Queen consort of Bhutan (2011),100 ngultrum,Obverse
12,Bhutan,NA,1,Jigme Namgyel Wangchuck,2016-,2017 (commemorative),NA,Crown Prince of Bhutan (2016-),100 ngultrum,Obverse
12,Bhutan,NA,1,Ugyen Wangchuck,1862-1926,2006,NA,King of Bhutan (1907-1926),500 ngultrum,Obverse
12,Bhutan,NA,1,Jigme Khesar Namgyel Wangchuck,1980-,2008,NA,King of Bhutan (2006-),"1,000 ngultrum",Obverse
13,Bolivia,NA,1,Cecilio Guzmán de Rojas,1899-1950,1986,NA,Painter,10 bolivianos,Obverse
13,Bolivia,NA,1,José Santos Vargas,,2018,NA,,10 bolivianos,Obverse
13,Bolivia,NA,1,Apiaguaiki Tumpa,1863-1892,2018,NA,Messianic leader of the Eastern Bolivian Guarani (Chiriguanos) people,10 bolivianos,Obverse
13,Bolivia,NA,1,Eustaquio Méndez,,2018,NA,,10 bolivianos,Obverse
13,Bolivia,NA,1,Pantaleón Dalence Jiménez,,1986,NA,,20 bolivianos,Obverse
13,Bolivia,NA,1,Melchor Pérez de Holguín,,1986,NA,,50 bolivianos,Obverse
13,Bolivia,NA,1,Gabriel René Moreno,,1986,NA,,100 bolivianos,Obverse
13,Bolivia,NA,1,Franz Tamayo,1878-1956,1986,NA,"Intellectual, writer, and politician",200 bolivianos,Obverse
14,Bosnia and Herzegovina,NA,1,Mak Dizdar,1917-1971,1998 (Federation of Bosnia and Herzegovina issue),NA,Poet,10 convertible marka,Obverse
14,Bosnia and Herzegovina,NA,1,Aleksa Šantić,1868-1924,1998 (Republika Srpska issue),NA,Poet,10 convertible marka,Obverse
14,Bosnia and Herzegovina,NA,1,Antun Branko Šimić,1898-1925,1998 (Federation of Bosnia and Herzegovina issue),NA,Poet,20 convertible marka,Obverse
14,Bosnia and Herzegovina,NA,1,Filip Višnjić,1767-1834,1998 (Republika Srpska issue),NA,Poet and guslar (gulse player),20 convertible marka,Obverse
14,Bosnia and Herzegovina,NA,1,Musa Ćazim Ćatić,1878-1915,1998 (Federation of Bosnia and Herzegovina issue),NA,Poet,50 convertible marka,Obverse
14,Bosnia and Herzegovina,NA,1,Jovan Dučić,1871-1943,1998 (Republika Srpska issue),NA,Poet,50 convertible marka,Obverse
14,Bosnia and Herzegovina,NA,1,Nikola Šop,1904-1982,1998 (Federation of Bosnia and Herzegovina issue),NA,Poet,100 convertible marka,Obverse
14,Bosnia and Herzegovina,NA,1,Petar Kočić,1877-1916,1998 (Republika Srpska issue),NA,Poet,100 convertible marka,Obverse
14,Bosnia and Herzegovina,NA,1,Ivo Andrić,1892-1975,2002,NA,"Novelist, short story writer and winner of the 1961 Nobel Prize in Literature",200 convertible marka,Obverse
15,Botswana,NA,1,Seretse Khama Ian Khama,1953-,2009,NA,4th President of Botswana (2008-),10 pula,Obverse
15,Botswana,NA,1,Kgalemang Tumedisco Motsete,,1999,NA,,20 pula,Obverse
15,Botswana,NA,1,Seretse Goitsebeng Maphiri Khama,1921-1980,2000,NA,1st President of Botswana (1966-1980),50 pula,Obverse
15,Botswana,NA,1,"Sebele I, Bathoen I, and Khama III",1892-1911 (Sebele I); ca. 1837-1923 (Khama III),2000,NA,Kgosi (Chief) of the Kwena tribe (1892-1911) (Sebele I); Kgosi (Chief) of the Bamangwato people of Bechuanaland; responsible for making Bechuanaland a protectorate of Great Britain,100 pula,Obverse
16,Brunei,NA,1,Hassanal Bolkiah,1946-,1996,NA,Sultan of Brunei (1967-),1 ringgit/dollar,Obverse
16,Brunei,NA,1,Hassanal Bolkiah,1946-,1996,NA,Sultan of Brunei (1967-),5 ringgit/dollars,Obverse
16,Brunei,NA,1,Hassanal Bolkiah,1946-,1996,NA,Sultan of Brunei (1967-),10 ringgit/dollars,Obverse
16,Brunei,NA,1,Hassanal Bolkiah,1946-,1996 (paper); 2004 (polymer),NA,Sultan of Brunei (1967-),50 ringgit/dollars,Obverse
16,Brunei,NA,1,Hassanal Bolkiah,1946-,1996 (paper); 2004 (polymer),NA,Sultan of Brunei (1967-),100 ringgit/dollars,Obverse
16,Brunei,NA,1,Hassanal Bolkiah,1946-,2000,NA,Sultan of Brunei (1967-),500 ringgit/dollars,Obverse
16,Brunei,NA,1,Omar Ali Saifuddien III,1914-1986,2006,NA,Sultan of Brunei (1950-1967),500 ringgit/dollars,Obverse
16,Brunei,NA,1,Hassanal Bolkiah,1946-,2006,NA,Sultan of Brunei (1967-),1000 ringgit/dollars,Obverse
16,Brunei,NA,1,Hassanal Bolkiah,1946-,2006,NA,Sultan of Brunei (1967-),"10,000 ringgit/dollars",Obverse
17,Bulgaria,NA,1,Ivan Rilski,876-946,1999,NA,Patron saint of Bulgaria,1 lev,Obverse
17,Bulgaria,NA,1,Pasiy Hilendàrski,1722-1773,1999,NA,Saint of Bulgaria,2 leva,Obverse
17,Bulgaria,NA,1,Ivan Milev,1897-1927,1999,NA,"Bulgarian painter and scenographer, founder of Bulgarian Secession",5 leva,Obverse
17,Bulgaria,NA,1,Petar Beron,1799-1871,1999,NA,Educator,10 leva,Obverse
17,Bulgaria,NA,1,Stefan Stambolov,1854-1895,1999,NA,9th Prime Minister of Bulgaria (1887-1894),20 leva,Obverse
17,Bulgaria,NA,1,Pencho Slaveykov,1866-1912,1999,NA,Poet,50 leva,Obverse
17,Bulgaria,NA,1,Aleko Konstantinov,1863-1897,2003,NA,Writer,100 leva,Both
18,Burundi,NA,1,Prince Louis Rwagasore,1932-1961,1964,NA,"Prime Minister of the Kingdom of Burundi (September 28, 1961 – October 13, 1961), Burundian nationalist and national hero",100 francs,Obverse
18,Burundi,NA,1,Prince Louis Rwagasore and Melchior Ndadaye,1932–1961 (Prince Louis Rwagasore); 1953–1993 (Melchior Ndadaye),2004,NA,"Prime Minister of the Kingdom of Burundi (September 28, 1961 – October 13, 1961), Burundian nationalist and national hero (Prince Louis Rwagasore); President of Burundi (July 10, 1993 – October 21, 1993) (Melchior Ndadaye)","10,000 francs",Obverse
19,Cambodia,NA,1,Norodom Sihanouk,1922-2012,2014,NA,King of Cambodia (1941-1955; 1993-2005),100 ៛,Obverse
19,Cambodia,NA,1,Norodom Sihamoni,1953-,2014,NA,King of Cambodia (2004-),500 ៛,Obverse
19,Cambodia,NA,1,Norodom Sihanouk,1922-2012,2012 (commemorative),NA,King of Cambodia (1941-1955; 1993-2005),"1,000 ៛",Obverse
19,Cambodia,NA,1,Norodom Sihanouk,1922-2012,2013 (commemorative),NA,King of Cambodia (1941-1955; 1993-2005),"2,000 ៛",Obverse
19,Cambodia,NA,1,Norodom Sihanouk,1922-2012,2001,NA,King of Cambodia (1941-1955; 1993-2005),"5,000 ៛",Obverse
19,Cambodia,NA,1,Norodom Sihanouk,1922-2012,2001,NA,King of Cambodia (1941-1955; 1993-2005),"10,000 ៛",Obverse
19,Cambodia,NA,1,Norodom Sihamoni,1953-,2015,NA,King of Cambodia (2004-),"10,000 ៛",Obverse
19,Cambodia,NA,1,Norodom Sihamoni,1953-,2008,NA,King of Cambodia (2004-),"20,000 ៛",Obverse
19,Cambodia,NA,1,Norodom Sihanouk,1922-2012,2001,NA,King of Cambodia (1941-1955; 1993-2005),"50,000 ៛",Obverse
19,Cambodia,NA,1,Norodom Sihanouk,1922-2012,2013,NA,King of Cambodia (1941-1955; 1993-2005),"50,000 ៛",Obverse
19,Cambodia,NA,1,"Norodom Sihanouk, Norodom Monineath and Norodom Sihamoni",1922–2012 (Norodom Sihanouk); 1936- (Norodom Monineath); 1953- (Norodom Sihamoni),2012 (commemorative),NA,King of Cambodia (1941-1955; 1993–2005 (Norodom Sihanouk)); Queen-consort of Cambodia (1993–2004 (Norodom Monineath)); King of Cambodia (2004- (Norodom Sihamoni)),"100,000 ៛",Both
20,Canada,NA,1,Wilfrid Laurier*,1841-1919,2013,NA,7th Prime Minister of Canada (1896-1911),$5,Obverse
20,Canada,NA,1,John A. Macdonald*,1815-1891,2013,NA,1st Prime Minister of Canada (1867–1873 and 1878–1891),$10,Obverse
20,Canada,NA,1,George-Étienne Cartier,1814-1873,2017 (commemorative),NA,Premier of Canada East (1858-1862),$10,Obverse
20,Canada,NA,1,Agnes Macphail,1890-1954,2017 (commemorative),NA,Member of the Ontario Provincial Parliament (1948-1951),$10,Obverse
20,Canada,NA,1,James Gladstone,1887-1971,2017 (commemorative),NA,"Senator for Lethbridge, Alberta (1958-1971)",$10,Obverse
20,Canada,NA,1,Viola Desmond,1914-1965,2018,NA,"Challenging racial segregation at a cinema in New Glasgow, Nova Scotia in 1946",$10,Obverse
20,Canada,NA,1,Elizabeth II*§,1926-,2012,NA,Queen of Canada (1952),$20,Obverse
20,Canada,NA,1,William Lyon Mackenzie King*,1874-1950,2012,NA,"10th Prime Minister of Canada (1921–1926, 1926-1930 and 1935-1948)",$50,Obverse
20,Canada,NA,1,Robert Borden*,1854-1937,2011,NA,8th Prime Minister of Canada (1911-1920),$100,Obverse
21,Cape Verde,NA,1,Henrique Teixeira de Sousa,1919-2006,2014,NA,Doctor and author,20000,Obverse
21,Cape Verde,NA,1,Baltasar Lopes da Silva,1907-1989,1992,NA,"Writer, poet and linguist",50000,Obverse
21,Cape Verde,NA,1,Roberto Duarte Silva,1837-1889,2007,NA,Chemist,50000,Obverse
21,Cape Verde,NA,1,Jorge Barbosa,1902-1971,2015,NA,Poet,50000,Obverse
21,Cape Verde,NA,1,António Aurélio Gonçalves,,2007,NA,,"1,00000",Obverse
21,Cape Verde,NA,1,Codé di Dona,,2014,NA,,"1,00000",Obverse
21,Cape Verde,NA,1,Eugénio Tavares,1867-1930,1999,NA,Poet,"2,00000",Obverse
21,Cape Verde,NA,1,Cesária Évora,1941-2011,2014,NA,Singer,"2,00000",Obverse
21,Cape Verde,NA,1,Aristides Maria Pereira,1923-2011,2015,NA,1st President of Cape Verde (1975-1991),"5,00000",Obverse
22,Chile,NA,1,Ignacio Carrera Pinto,1848-1882,1978,NA,Hero of the War of the Pacific,"1,000 pesos",Obverse
22,Chile,NA,1,Manuel Xavier Rodríguez Erdoíza,1785-1818,1997,NA,Lawyer and guerrilla fighter; founder of Chile,"2,000 pesos",Obverse
22,Chile,NA,1,Gabriela Mistral,1889-1957,1981,NA,"Poet-diplomat, educator and feminist; received the Nobel Prize in Literature","5,000 pesos",Obverse
22,Chile,NA,1,Arturo Prat,1848-1879,1989,NA,Lawyer and Navy officer,"10,000 pesos",Obverse
22,Chile,NA,1,Andrés Bello,1781-1865,1998,NA,"Humanist, diplomat, poet, legislator, philosopher, educator and philologist","20,000 pesos",Obverse
23,People's Republic of China,NA,1,Mao Zedong*,1893–1976,2004,NA,"1st Chairman of the Central Committee of the Communist Party of China (1945-1976); 1st Chairman of the Central Politburo of the Communist Party of China  (1943-1969); Chairman of the Communist Party of China's Central Military Commission (August 23, 1945 – 1949; September 8, 1954 – September 9, 1976); 1st Chairman of the National Committee of the CPPCC (1949-1954); Honorary Chairman (1954-1976); 1st Chairman of the People's Republic of China (1954-1959); Member of the National People's Congress (1954-1959; 1964-1976)",¥1,obverse
23,People's Republic of China,NA,1,Mao Zedong*,1893–1976,2002,NA,"1st Chairman of the Central Committee of the Communist Party of China (1945-1976); 1st Chairman of the Central Politburo of the Communist Party of China  (1943-1969); Chairman of the Communist Party of China's Central Military Commission (August 23, 1945 – 1949; September 8, 1954 – September 9, 1976); 1st Chairman of the National Committee of the CPPCC (1949-1954); Honorary Chairman (1954-1976); 1st Chairman of the People's Republic of China (1954-1959); Member of the National People's Congress (1954-1959; 1964-1976)",¥5,obverse
23,People's Republic of China,NA,1,Mao Zedong*,1893–1976,2001,NA,"1st Chairman of the Central Committee of the Communist Party of China (1945-1976); 1st Chairman of the Central Politburo of the Communist Party of China  (1943-1969); Chairman of the Communist Party of China's Central Military Commission (August 23, 1945 – 1949; September 8, 1954 – September 9, 1976); 1st Chairman of the National Committee of the CPPCC (1949-1954); Honorary Chairman (1954-1976); 1st Chairman of the People's Republic of China (1954-1959); Member of the National People's Congress (1954-1959; 1964-1976)",¥10,obverse
23,People's Republic of China,NA,1,Mao Zedong*,1893–1976,2000,NA,"1st Chairman of the Central Committee of the Communist Party of China (1945-1976); 1st Chairman of the Central Politburo of the Communist Party of China  (1943-1969); Chairman of the Communist Party of China's Central Military Commission (August 23, 1945 – 1949; September 8, 1954 – September 9, 1976); 1st Chairman of the National Committee of the CPPCC (1949-1954); Honorary Chairman (1954-1976); 1st Chairman of the People's Republic of China (1954-1959); Member of the National People's Congress (1954-1959; 1964-1976)",¥20,obverse
23,People's Republic of China,NA,1,Mao Zedong*,1893–1976,2001,NA,"1st Chairman of the Central Committee of the Communist Party of China (1945-1976); 1st Chairman of the Central Politburo of the Communist Party of China  (1943-1969); Chairman of the Communist Party of China's Central Military Commission (August 23, 1945 – 1949; September 8, 1954 – September 9, 1976); 1st Chairman of the National Committee of the CPPCC (1949-1954); Honorary Chairman (1954-1976); 1st Chairman of the People's Republic of China (1954-1959); Member of the National People's Congress (1954-1959; 1964-1976)",¥50,obverse
23,People's Republic of China,NA,1,Mao Zedong*,1893–1976,1999,NA,"1st Chairman of the Central Committee of the Communist Party of China (1945-1976); 1st Chairman of the Central Politburo of the Communist Party of China  (1943-1969); Chairman of the Communist Party of China's Central Military Commission (August 23, 1945 – 1949; September 8, 1954 – September 9, 1976); 1st Chairman of the National Committee of the CPPCC (1949-1954); Honorary Chairman (1954-1976); 1st Chairman of the People's Republic of China (1954-1959); Member of the National People's Congress (1954-1959; 1964-1976)",¥100,obverse
24,Colombia,NA,1,Jorge Eliécer Gaitán,1903-1948,2001,NA,"5th Minister of Labour, Health and Social Welfare of Colombia (1943-1944); Minister of National Education of Colombia (1940-1941); Mayor of Bogotá (1936-1937)","1,000 pesos",Both
24,Colombia,NA,1,Francisco José de Paula Santander y Omaña,1792-1840,1996,NA,4th President of the Republic of the New Granada (1832-1837); 2nd Vice President of the Republic of Colombia (1821-1827),"2,000 pesos",Obverse
24,Colombia,NA,1,Débora Arango Pérez,1907-2005,2016,NA,Artist,"2,000 pesos",Obverse
24,Colombia,NA,1,José Asunción Silva,1865-1896,1997 and 2015,NA,Poet,"5,000 pesos",Obverse
24,Colombia,NA,1,Policarpa Salavarrieta,1795-1817,1995,NA,Seamstress and spy,"10,000 pesos",Obverse
24,Colombia,NA,1,Virginia Gutiérrez de Pineda,1921-1999,2016,NA,Anthropologist,"10,000 pesos",Obverse
24,Colombia,NA,1,Julio Garavito Armero,1865-1920,1996,NA,Astronomer,"20,000 pesos",Obverse
24,Colombia,NA,1,Alfonso López Michelsen,1913-2007,2015,NA,24th President of Colombia (1974-1978),"20,000 pesos",Obverse
24,Colombia,NA,1,Jorge Isaacs Ferrer,1837-1895,2000,NA,"Writer, politician and soldier","50,000 pesos",Obverse
24,Colombia,NA,1,Gabriel García Márquez,1927-2014,2015,NA,"Novelist, short-story writer, screenwriter and journalist","50,000 pesos",Obverse
24,Colombia,NA,1,Carlos Lleras Restrepo,1908-1994,2015,NA,22nd President of Colombia (1966-1970),"100,000 pesos",Obverse
25,Comoros,NA,1,Saïd Mohamed Ben Chech Abdallah Cheikh,1904-1970,1976,NA,Head of the Government of Comoros (1962-1970),"5,000 francs",Obverse
25,Comoros,NA,1,Al-Habib Seyyid Omar Bin Sumeit,,1997,NA,,"10,000 francs",Obverse
26,"Congo, Democratic Republic (Congo-Kinshasa)",NA,1,Patrice Lumumba,1925-1961,1997,NA,"Prime Minister of Congo-Léopoldville (June 24-September 14, 1960)",1 franc,Reverse
27,Costa Rica,NA,1,Braulio Carrillo Colina,1800-1845,2009,NA,Head of State (1st term: 1835-1837; 2nd term: 1838-1842),₡1000,obverse
27,Costa Rica,NA,1,Mauro Fernández Acuña,1843-1905,2009,NA,Politician and lawyer,₡2000,obverse
27,Costa Rica,NA,1,Alfredo González Flores,1877-1962,2009,NA,President of Costa Rica (1914-1917),₡5000,obverse
27,Costa Rica,NA,1,José Figueres Ferrer,1906-1990,2009,NA,President of Costa Rica (1st term (32nd President of Costa Rica): 1948-1949; 2nd term (34th President of Costa Rica): 1953-1958; 3rd term (38th President of Costa Rica): 1970-1974,"₡10,000",obverse
